population_group_id,population_group_name,measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
1,All Population,2,DALYs (Disability-Adjusted Life Years),144,Jordan,2,Female,22,All ages,605,Polycystic ovarian syndrome,1,Number,1990,274.80919042806033,588.6504003998903,118.15179435541575
1,All Population,2,DALYs (Disability-Adjusted Life Years),144,Jordan,2,Female,22,All ages,605,Polycystic ovarian syndrome,2,Percent,1990,0.0005443267929479439,0.0010856102450628592,0.00023924721634331134
1,All Population,2,DALYs (Disability-Adjusted Life Years),144,Jordan,2,Female,22,All ages,605,Polycystic ovarian syndrome,3,Rate,1990,15.314929044802549,32.80508595901165,6.584519041196263
1,All Population,2,DALYs (Disability-Adjusted Life Years),153,Syrian Arab Republic,2,Female,22,All ages,605,Polycystic ovarian syndrome,1,Number,1990,834.4295554274307,1784.7356392225531,358.5864034427647
1,All Population,2,DALYs (Disability-Adjusted Life Years),153,Syrian Arab Republic,2,Female,22,All ages,605,Polycystic ovarian syndrome,2,Percent,1990,0.0004251384485778886,0.0008556549215205378,0.00018836983332625308
1,All Population,2,DALYs (Disability-Adjusted Life Years),153,Syrian Arab Republic,2,Female,22,All ages,605,Polycystic ovarian syndrome,3,Rate,1990,13.388302457989948,28.635827182830013,5.753467378268181
1,All Population,2,DALYs (Disability-Adjusted Life Years),142,Iran (Islamic Republic of),2,Female,22,All ages,605,Polycystic ovarian syndrome,1,Number,1990,4198.079495606093,9053.986766693146,1866.4021184366916
1,All Population,2,DALYs (Disability-Adjusted Life Years),142,Iran (Islamic Republic of),2,Female,22,All ages,605,Polycystic ovarian syndrome,2,Percent,1990,0.000341171468270631,0.0007072595365675464,0.00014938897881052805
1,All Population,2,DALYs (Disability-Adjusted Life Years),142,Iran (Islamic Republic of),2,Female,22,All ages,605,Polycystic ovarian syndrome,3,Rate,1990,14.984611420900547,32.31727118337605,6.661929705998029
1,All Population,2,DALYs (Disability-Adjusted Life Years),522,Sudan,2,Female,22,All ages,605,Polycystic ovarian syndrome,1,Number,1990,944.7853356395556,2155.797246413041,396.6053247304715
1,All Population,2,DALYs (Disability-Adjusted Life Years),522,Sudan,2,Female,22,All ages,605,Polycystic ovarian syndrome,2,Percent,1990,0.00011619179753764015,0.0002611874982949552,4.8738832088357004e-05
1,All Population,2,DALYs (Disability-Adjusted Life Years),522,Sudan,2,Female,22,All ages,605,Polycystic ovarian syndrome,3,Rate,1990,9.540148139085426,21.768569338230304,4.004797077123861
1,All Population,2,DALYs (Disability-Adjusted Life Years),145,Kuwait,2,Female,22,All ages,605,Polycystic ovarian syndrome,1,Number,1990,186.05624828788154,405.12093229143045,82.01253959747142
